image_path,theme_id,is_generated
/static/images/nature1.jpeg,1,False
/static/images/nature2.jpeg,1,False
/static/images/nature3.jpeg,1,False
/static/images/nature4.jpeg,1,False
/static/images/nature5.jpeg,1,False
/static/images/nature1.jpeg,2,False
/static/images/nature2.jpeg,2,False
/static/images/nature3.jpeg,2,False
/static/images/nature4.jpeg,2,False
/static/images/nature5.jpeg,2,False
/static/images/architecture1.jpeg,3,False
/static/images/architecture2.jpeg,3,False
/static/images/architecture3.jpeg,3,False
/static/images/architecture4.jpeg,3,False
/static/images/architecture5.jpeg,3,False
